,Latin or scientific name,Common name,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_ID,Accepted_Rank,Source
870,Sempervivum tectorum,Hen and chicks,Sempervivum tectorum,Sempervivum tectorum,276682-1,276682-1,Species,CAL
871,Sempervivum tectorum,Chicks and hens,Sempervivum tectorum,Sempervivum tectorum,276682-1,276682-1,Species,CAL
872,Senecio cineraria,Dusty miller,Jacobaea maritima,Jacobaea maritima,77075194-1,77075194-1,Species,CAL
873,Silene acaulis,Campion,Silene acaulis,Silene acaulis,60452326-2,60452326-2,Species,CAL
874,Silene acaulis,Maidenâs tears,Silene acaulis,Silene acaulis,60452326-2,60452326-2,Species,CAL
875,Silene acualis,"Campion, moss or mossy",,,,,,CAL
876,Silene acualis,Cushion pink,,,,,,CAL
877,Sinningia cardinalis,Cardinal flower,Sinningia cardinalis,Sinningia cardinalis,236686-2,236686-2,Species,CAL
878,Sinningia cardinalis,Helmet flower,Sinningia cardinalis,Sinningia cardinalis,236686-2,236686-2,Species,CAL
879,Sinningia pusilla,Cinderella slippers,Sinningia pusilla,Sinningia pusilla,237100-2,237100-2,Species,CAL
880,Sinningia speciosa,Bright eyes,Sinningia speciosa,Sinningia speciosa,382786-1,382786-1,Species,CAL
881,Sinningia speciosa,Gloxinia,Sinningia speciosa,Sinningia speciosa,382786-1,382786-1,Species,CAL
882,Smilax gluaca,"Sarsaparilla, wild",,,,,,CAL
883,Smithiantha cinnabarina,Temple bells,Smithiantha cinnabarina,Smithiantha cinnabarina,238059-2,238059-2,Species,CAL
884,Smithiantha multiflora,Naegelia,Smithiantha multiflora,Smithiantha multiflora,238062-2,238062-2,Species,CAL
885,Soleirolia soleirolii,Angelâs tears,Soleirolia soleirolii,Soleirolia soleirolii,856545-1,856545-1,Species,CAL
886,Soleirolia soleirolii,Irish moss,Soleirolia soleirolii,Soleirolia soleirolii,856545-1,856545-1,Species,CAL
887,Soleirolia soleirolii,Peace in the home,Soleirolia soleirolii,Soleirolia soleirolii,856545-1,856545-1,Species,CAL
888,Soleirolia soleirolii,Babyâs tears,Soleirolia soleirolii,Soleirolia soleirolii,856545-1,856545-1,Species,CAL
889,Soleirolia soleirolii,Creeping nettle,Soleirolia soleirolii,Soleirolia soleirolii,856545-1,856545-1,Species,CAL
890,Sorbus spp,"Ash, mountain",Sorbus,,,30004837-2,Genus,CAL
891,Sparaxis tricolor,Sparaxis,Sparaxis tricolor,Sparaxis tricolor,441392-1,441392-1,Species,CAL
892,Sparaxis tricolor,Wand flower,Sparaxis tricolor,Sparaxis tricolor,441392-1,441392-1,Species,CAL
893,Spathodea campanulata,Tulip tree,Spathodea campanulata,Spathodea campanulata,110661-1,110661-1,Species,CAL
894,Sphaeropteris medullaris,Sago fern,Sphaeropteris medullaris,Sphaeropteris medullaris,17223270-1,17223270-1,Species,CAL
895,Spirea spp,Spirea,Spiraea,,,325874-2,Genus,CAL
896,Spuria spp,Butterfly iris,,,,,,CAL
897,Stachy spp,Lambâs ears,,,,,,CAL
898,Stephanotis floribunda,Brideâs flower,Stephanotis floribunda,Stephanotis floribunda,77204413-1,77204413-1,Species,CAL
899,Stephanotis floribunda,Clustered wax flower,Stephanotis floribunda,Stephanotis floribunda,77204413-1,77204413-1,Species,CAL
900,Stephanotis floribunda,Stephanotis,Stephanotis floribunda,Stephanotis floribunda,77204413-1,77204413-1,Species,CAL
901,Stephanotis floribunda,Wax flower,Stephanotis floribunda,Stephanotis floribunda,77204413-1,77204413-1,Species,CAL
902,Streptocarpus spp,Cape primrose,Streptocarpus,,,17229-1,Genus,CAL
903,Strongylodon macrobotrys,Jade vine,Strongylodon macrobotrys,Strongylodon macrobotrys,519595-1,519595-1,Species,CAL
904,Styrax japonica,Japanese snowbell,Styrax japonicus,Styrax japonicus,826818-1,826818-1,Species,CAL
905,Symphoricarpos spp,"Snowberry, mountain",Symphoricarpos,,,30010757-2,Genus,CAL
906,Symphoricarpos spp,"Snowberry, western",Symphoricarpos,,,30010757-2,Genus,CAL
907,Syringa spp,Lilac,Syringa,,,328109-2,Genus,CAL
908,Syzygium cuminii,Eugenia,Syzygium cumini,Syzygium cumini,601603-1,601603-1,Species,CAL
910,Taraxacum officinale,Dandelion,Taraxacum sect. Taraxacum,Taraxacum sect. Taraxacum,254151-1,254151-1,Species,CAL
911,Taraxacum officinale,Lion's tooth,Taraxacum sect. Taraxacum,Taraxacum sect. Taraxacum,254151-1,254151-1,Species,CAL
912,Tecomaria capensis,Cape honeysuckle,Tecomaria capensis,Tecomaria capensis,111333-1,111333-1,Species,CAL
913,Thea japonica,Camellia,Camellia japonica,Camellia japonica,828524-1,828524-1,Species,CAL
914,Thunbergia alata,Black-eyed susan vine,Thunbergia alata,Thunbergia alata,56177-1,56177-1,Species,CAL
915,Tibouchina spp,Glory bush,Tibouchina,,,30000734-2,Genus,CAL
916,Tibouchina spp,Lasiandra,Tibouchina,,,30000734-2,Genus,CAL
917,Tibouchina spp,Spider flower,Tibouchina,,,30000734-2,Genus,CAL
918,Tilia americana,Linden tree,Tilia americana,Tilia americana,286108-2,286108-2,Species,CAL
919,Tillandsia usneoides,Spanish moss,Tillandsia usneoides,Tillandsia usneoides,1169665-2,1169665-2,Species,CAL
920,Tithonia spp,Mexican sunflower,Tithonia,,,11315-1,Genus,CAL
921,Tolmiea menziesii,Curiosity plant,Tolmiea menziesii,Tolmiea menziesii,794907-1,794907-1,Species,CAL
922,Tolmiea menziesii,Mother of thousands,Tolmiea menziesii,Tolmiea menziesii,794907-1,794907-1,Species,CAL
923,Tolmiea menziesii,Piggyback plant,Tolmiea menziesii,Tolmiea menziesii,794907-1,794907-1,Species,CAL
924,Townsendia sericea,"Aster, giant",Townsendia exscapa,Townsendia exscapa,255696-2,255696-2,Species,CAL
925,Trachelospermum jasminoides,Star jasmine,Trachelospermum jasminoides,Trachelospermum jasminoides,82553-1,82553-1,Species,CAL
926,Tradescantia multiflora,Tahitian bridal veil,Callisia procumbens,Callisia procumbens,77205602-1,77205602-1,Species,CAL
927,Tradescantia reginae,Queen's spiderwort,Dichorisandra musaica,Dichorisandra musaica,172628-1,172628-1,Species,CAL
928,Tradescantia navicularis,Chain plant,Callisia navicularis,Callisia navicularis,42453-2,42453-2,Species,CAL
929,Tropaeolum spp,Nasturtium,Tropaeolum,,,30002592-2,Genus,CAL
930,Tsuga spp (do NOT confuse with toxic Conium or Cicuta species!),Hemlock tree,Tsuga,,,11721-1,Genus,CAL
931,Tulbaghia violacea,Society garlic,Tulbaghia violacea,Tulbaghia violacea,542801-1,542801-1,Species,CAL
932,Typha latifolia,Cat tail,Typha latifolia,Typha latifolia,836870-1,836870-1,Species,CAL
934,Valerianella locusta,Lamb's lettuce,Valeriana locusta,Valeriana locusta,859937-1,859937-1,Species,CAL
935,Veitchia merrillii,Dwarf royal palm,Adonidia merrillii,Adonidia merrillii,663990-1,663990-1,Species,CAL
936,Verbascum spp,Mullein,Verbascum,,,30049308-2,Genus,CAL
937,Verbena spp (except Verbena hastata),Verbena,Verbena,,,330551-2,Genus,CAL
938,Verbena spp (except Verbena hastata),Vervain,Verbena,,,330551-2,Genus,CAL
939,Veronica spp,Veronica,Veronica,,,30005997-2,Genus,CAL
940,Viburnum cassinoides,Tea-berry,Viburnum cassinoides,Viburnum cassinoides,264854-2,264854-2,Species,CAL
941,Viburnum lentago,Sweetberry,Viburnum lentago,Viburnum lentago,326266-2,326266-2,Species,CAL
942,Viburnum macrocephalum,"Snowball, Chinese",Viburnum macrocephalum,Viburnum macrocephalum,149801-1,149801-1,Species,CAL
943,Viburnum odoratissimum,Sweet viburnum,Viburnum odoratissimum,Viburnum odoratissimum,149848-1,149848-1,Species,CAL
944,Viburnum plicatum,"Snowball, Japanese",Viburnum plicatum,Viburnum plicatum,149876-1,149876-1,Species,CAL
945,Viburnum spp,Snowball bush,Viburnum,,,30000738-2,Genus,CAL
946,Viburnum spp,Squaw bush,Viburnum,,,30000738-2,Genus,CAL
947,Viburnum spp,Tea plant,Viburnum,,,30000738-2,Genus,CAL
948,Viburnum spp,Viburnum,Viburnum,,,30000738-2,Genus,CAL
949,Viburnum spp,"Alder, black",Viburnum,,,30000738-2,Genus,CAL
950,Vicia sativa,"Vetch, common",Vicia sativa,Vicia sativa,525117-1,525117-1,Species,CAL
951,Viola cornuta,Johnny jump up (except for seeds),Viola cornuta,Viola cornuta,867953-1,867953-1,Species,CAL
952,Viola odorata,Violets (except for seeds),Viola odorata,Viola odorata,868828-1,868828-1,Species,CAL
953,Viola spp,Violas (except for seeds),Viola,,,30000540-2,Genus,CAL
954,Viola tricolor,Pansy (except for seeds),Viola tricolor,Viola tricolor,869428-1,869428-1,Species,CAL
955,Vitex spp,Sage tree,Vitex,,,30000069-2,Genus,CAL
956,Vitex spp,Wild pepper,Vitex,,,30000069-2,Genus,CAL
957,Vitus californica,Wild grape,,,,,,CAL
958,Vitus californica,"Grape, wild",,,,,,CAL
959,Vitus vinifera,Wine grape,,,,,,CAL
960,Vitus vinifera,European grape,,,,,,CAL
961,Vitus vinifera,Grape,,,,,,CAL
962,Vriesea hieroglyphica,Bromeliad king,Vriesea hieroglyphica,Vriesea hieroglyphica,126163-1,126163-1,Species,CAL
963,Vriesea carinata,Lobster claws,Vriesea carinata,Vriesea carinata,126130-1,126130-1,Species,CAL
964,Vriesea carinata,Painted feather,Vriesea carinata,Vriesea carinata,126130-1,126130-1,Species,CAL
965,Vriesea splendens,Flaming sword,Lutheria splendens,Lutheria splendens,77158988-1,77158988-1,Species,CAL
967,Washingtonia spp,"Palm, desert fan",Washingtonia,,,331308-2,Genus,CAL
968,Washingtonia spp,Mexican fan palm,Washingtonia,,,331308-2,Genus,CAL
969,Washingtonia spp,Thread palm,Washingtonia,,,331308-2,Genus,CAL
970,Watsonia spp,Watsonia,Watsonia,,,328242-2,Genus,CAL
971,Weigela spp,Weigela,Weigela,,,6141-1,Genus,CAL
973,Xylosma spp,Xylosma,Xylosma,,,332071-2,Genus,CAL
975,Yucca brevifolia,Joshua tree,Yucca brevifolia,Yucca brevifolia,270297-2,270297-2,Species,CAL
976,Yucca spp,Dagger plant,Yucca,,,30003895-2,Genus,CAL
977,Yucca spp,Spanish bayonet,Yucca,,,30003895-2,Genus,CAL
978,Yucca spp,Yucca,Yucca,,,30003895-2,Genus,CAL
980,Zanthosoma lindeni,Indian kale,,,,,,CAL
981,Zebrina pendula,Inch plant,Tradescantia zebrina var. zebrina,Tradescantia zebrina,30049896-2,77170928-1,Variety,CAL
982,Zebrina pendula,Wandering Jew,Tradescantia zebrina var. zebrina,Tradescantia zebrina,30049896-2,77170928-1,Variety,CAL
983,Zinnia spp,Zinnia,Zinnia,,,332074-2,Genus,CAL
